"FID","ANALYST","OBS_YEAR","MISSION_ID","SITE","TRANSECT","SEGMENT","SEGLENGTH","SEGWIDTH","NO_COLONY","SPCODE","FRAGMENT","MORPH_CODE","EX_BOUND","JUVENILE","FRAGMENT.1","REMNANT","Shape_Leng","SEGAREA"
"337","MA",2019,"SE1902","HAW-04278","B","0",1,1,"0","PLOB","0","EM","0",-1,"0","0",0.018445595,1
"338","MA",2019,"SE1902","HAW-04278","B","0",1,1,"0","PLOB","0","EM","0",-1,"0","0",0.013263861,1
"339","MA",2019,"SE1902","HAW-04278","B","0",1,1,"0","PLOB","0","EM","0",-1,"0","0",0.021159632,1
"340","MA",2019,"SE1902","HAW-04278","B","0",1,1,"0","PLOB","0","EM","0",-1,"0","0",0.013515176,1
"341","MA",2019,"SE1902","HAW-04278","B","0",1,1,"0","PLOB","0","EM","0",-1,"0","0",0.013511847,1
"342","MA",2019,"SE1902","HAW-04278","B","0",1,1,"0","PLOB","0","EM","0",-1,"0","0",0.020670026,1
"343","MA",2019,"SE1902","HAW-04278","B","0",1,1,"0","PLOB","0","EM","0",-1,"0","0",0.01190378,1
"344","MA",2019,"SE1902","HAW-04278","B","0",1,1,"0","PLOB","0","EM","0",-1,"0","0",0.011329607,1
"345","MA",2019,"SE1902","HAW-04278","B","0",1,1,"0","PLOB","0","EM","0",-1,"0","0",0.012149486,1
"346","MA",2019,"SE1902","HAW-04278","B","0",1,1,"0","PLOB","0","EM","0",-1,"0","0",0.017710167,1
"347","MA",2019,"SE1902","HAW-04278","B","0",1,1,"0","PLOB","0","EM","0",-1,"0","0",0.01023914,1
"348","MA",2019,"SE1902","HAW-04278","B","5",1,1,"0","PLOB","0","EM","0",-1,"0","0",0.016124516,1
"349","MA",2019,"SE1902","HAW-04278","B","5",1,1,"0","PLOB","0","EM","0",-1,"0","0",0.010824509,1
"350","MA",2019,"SE1902","HAW-04278","B","5",1,1,"0","PLOB","0","EM","0",-1,"0","0",0.03649685,1
"351","MA",2019,"SE1902","HAW-04278","B","5",1,1,"0","PLOB","0","EM","0",-1,"0","0",0.032099999,1
"352","MA",2019,"SE1902","HAW-04278","B","5",1,1,"0","PLOB","0","MD","0",-1,"0","0",0.043164801,1
"353","MA",2019,"SE1902","HAW-04278","B","5",1,1,"0","PLOB","0","EM","0",-1,"0","0",0.018216475,1
