"","FID","ANALYST","OBS_YEAR","MISSION_ID","SITE","SEGMENT","SEGLENGTH","SEGWIDTH","NO_COLONY_","SPCODE","FRAGMENT_Y","MORPH_CODE","EX_BOUND","OLDDEAD","RDCAUSE1","RD_1","RDCAUSE2","RD_2","RDCAUSE3","RD_3","CON_1","EXTENT_1","SEV_1","CON_2","EXTENT_2","SEV_2","CON_3","EXTENT_3","SEV_3","SHAPE_Leng"
"88",1856,"NA",0,"NA","NA-   NA","0",0,0,0,"PVAR",0,"EM",0,0,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.104978522
"89",1857,"NA",0,"NA","NA-   NA","0",0,0,0,"PMEA",0,"BR",0,0,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.225459531
"90",1858,"NA",0,"NA","NA-   NA","0",0,0,0,"PLOB",0,"BR",0,0,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.063529285
"91",1859,"NA",0,"NA","NA-   NA","0",0,0,0,"MPAT",0,"EM",0,60,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.357298223
"92",1860,"NA",0,"NA","NA-   NA","0",0,0,0,"MPAT",0,"EM",0,0,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.024820354
"93",1861,"NA",0,"NA","NA-   NA","0",0,0,0,"MPAT",0,"EM",0,5,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.033225442
"94",1862,"NA",0,"NA","NA-   NA","0",0,0,0,"MPAT",0,"EM",0,50,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.270370579
"95",1863,"NA",0,"NA","NA-   NA","0",0,0,0,"PMEA",0,"NA",0,0,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.076558475
"96",1864,"NA",0,"NA","NA-   NA","0",0,0,0,"POSP",0,"EM",0,0,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.030523598
"97",1865,"NA",0,"NA","NA-   NA","0",0,0,0,"MPAT",0,"EM",0,0,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.028006071
"98",1866,"NA",0,"NA","NA-   NA","0",0,0,0,"PDUE",0,"NA",0,40,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.186036501
"99",1867,"NA",0,"NA","NA-   NA","0",0,0,0,"PLOB",0,"MD",0,0,"PRED",2,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.103845751
"100",1868,"NA",0,"NA","NA-   NA","0",0,0,0,"MPAT",0,"EM",0,0,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.355264888
"101",1869,"NA",0,"NA","NA-   NA","0",0,0,0,"MPAT",0,"EM",0,45,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.361845298
"102",1870,"NA",0,"NA","NA-   NA","0",0,0,0,"PMEA",0,"BR",0,5,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.16070896
"103",1871,"NA",0,"NA","NA-   NA","0",0,0,0,"PMEA",0,"BR",0,0,"FISH",1,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.184746665
"104",1872,"NA",0,"NA","NA-   NA","0",0,0,0,"PMEA",0,"BR",0,0,"FISH",5,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.202671754
"105",1873,"NA",0,"NA","NA-   NA","0",0,0,0,"MPAT",0,"EM",0,0,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.014975312
"106",1874,"NA",0,"NA","NA-   NA","0",0,0,0,"PVAR",0,"NA",0,65,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.198140353
"107",1875,"NA",0,"NA","NA-   NA","0",0,0,0,"PDUE",0,"ML",0,80,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.254857941
"108",1876,"NA",0,"NA","NA-   NA","0",0,0,0,"PLOB",0,"EM",0,40,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.20384293
"109",1877,"NA",0,"NA","NA-   NA","0",0,0,0,"PMEA",0,"BR",0,0,"FISH",3,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.156967385
"110",1878,"NA",0,"NA","NA-   NA","0",0,0,0,"PLOB",0,"MD",0,15,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.232006421
"111",1879,"NA",0,"NA","NA-   NA","0",0,0,0,"PLOB",0,"MD",0,15,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.143917651
"112",1880,"NA",0,"NA","NA-   NA","0",0,0,0,"PLOB",0,"MD",0,20,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.083602033
"113",1881,"NA",0,"NA","NA-   NA","0",0,0,0,"PLOB",0,"MD",0,45,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.101382148
"114",1882,"NA",0,"NA","NA-   NA","0",0,0,0,"MPAT",0,"EC",0,70,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.342149236
"115",1883,"NA",0,"NA","NA-   NA","0",0,0,0,"POCS",0,"EM",0,45,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.167753182
"116",1884,"NA",0,"NA","NA-   NA","0",0,0,0,"PLOB",0,"MD",0,65,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.382681957
"117",1885,"NA",0,"NA","NA-   NA","0",0,0,0,"MPAT",0,"MD",0,40,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.117819014
"118",1886,"NA",0,"NA","NA-   NA","0",0,0,0,"MPAT",0,"EM",0,30,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.246694487
"119",1887,"NA",0,"NA","NA-   NA","0",0,0,0,"MPAT",0,"EM",0,35,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.157692486
"120",1888,"NA",0,"NA","NA-   NA","0",0,0,0,"MPAT",0,"EM",0,0,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.059597064
"121",1889,"NA",0,"NA","NA-   NA","0",0,0,0,"MPAT",0,"EM",0,0,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.04642984
"122",1890,"NA",0,"NA","NA-   NA","0",0,0,0,"MPAT",0,"EM",0,0,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.056310745
"123",1891,"NA",0,"NA","NA-   NA","0",0,0,0,"MPAT",0,"EM",0,65,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.10912163
"124",1892,"NA",0,"NA","NA-   NA","0",0,0,0,"MPAT",0,"EM",0,0,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.075315071
"125",1893,"NA",0,"NA","NA-   NA","0",0,0,0,"MPAT",0,"EM",0,60,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.31029478
"126",1894,"NA",0,"NA","NA-   NA","0",0,0,0,"MPAT",0,"EM",0,85,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.090649268
"127",1895,"NA",0,"NA","NA-   NA","0",0,0,0,"POCS",0,"EM",0,10,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.058592917
"128",1896,"NA",0,"NA","NA-   NA","0",0,0,0,"MPAT",0,"EM",0,20,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.15267305
"129",2329,"NA",0,"NA","NA-   NA","15",0,0,0,"NA",0,"NA",0,0,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.109031667
"130",2330,"NA",0,"NA","NA-   NA","15",0,0,0,"NA",0,"NA",0,0,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.065607621
"131",2331,"NA",0,"NA","NA-   NA","15",0,0,0,"NA",0,"NA",0,0,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.049419126
"132",2332,"NA",0,"NA","NA-   NA","15",0,0,0,"NA",0,"NA",0,0,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.125301437
"133",2333,"NA",0,"NA","NA-   NA","15",0,0,0,"NA",0,"NA",0,0,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.076218962
"134",2334,"NA",0,"NA","NA-   NA","15",0,0,0,"NA",0,"NA",0,0,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.062973011
"135",2335,"NA",0,"NA","NA-   NA","15",0,0,0,"NA",0,"NA",0,0,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.041773197
"136",2336,"NA",0,"NA","NA-   NA","15",0,0,0,"NA",0,"NA",0,0,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.099029288
"137",2337,"NA",0,"NA","NA-   NA","15",0,0,0,"NA",0,"NA",0,0,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.345541329
"138",2338,"NA",0,"NA","NA-   NA","15",0,0,0,"NA",0,"NA",0,0,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.120960489
"139",2339,"NA",0,"NA","NA-   NA","15",0,0,0,"NA",0,"NA",0,0,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.311586665
"140",2340,"NA",0,"NA","NA-   NA","15",0,0,0,"NA",0,"NA",0,0,"NA",0,"NA",0,"NA",0,"NA",0,0,"NA",0,0,"NA",0,0,0.117473613
