SITE,REGION,ISLAND,SEC_NAME,DEPTH_BIN,LATITUDE,LONGITUDE,repeats
GUA-02768,MARIAN,Guam,GUA_EAST_OPEN,Deep,13.28509,144.766998,No
GUA-02777,MARIAN,Guam,GUA_WEST_OPEN,Deep,13.33511,144.634585,Yes
GUA-02780,MARIAN,Guam,GUA_WEST_OPEN,Deep,13.631674,144.838595,No
GUA-02781,MARIAN,Guam,GUA_WEST_OPEN,Deep,13.24215,144.639531,No
GUA-02784,MARIAN,Guam,GUA_WEST_OPEN,Shallow,13.593838,144.836064,No
MAU-01207,MARIAN,Maug,Maug,Shallow,20.024278,145.210172,No
MAU-01213,MARIAN,Maug,Maug,Shallow,20.029041,145.232302,Yes
MAU-01215,MARIAN,Maug,Maug,Shallow,20.015957,145.207474,Yes
MAU-01225,MARIAN,Maug,Maug,Mid,20.03073,145.232888,No
MAU-01226,MARIAN,Maug,Maug,Mid,20.037076,145.219743,No
MAU-01233,MARIAN,Maug,Maug,Mid,20.0108,145.212686,No
MAU-01242,MARIAN,Maug,Maug,Mid,20.02085,145.207623,Yes
MAU-01243,MARIAN,Maug,Maug,Mid,20.034007,145.229619,No
MAU-01245,MARIAN,Maug,Maug,Mid,20.014516,145.20871,Yes
MAU-01247,MARIAN,Maug,Maug,Mid,20.01815,145.21206,Yes
MAU-01248,MARIAN,Maug,Maug,Mid,20.011861,145.219944,Yes
MAU-01257,MARIAN,Maug,Maug,Deep,20.031244,145.234455,No
MAU-01258,MARIAN,Maug,Maug,Deep,20.02366,145.238393,Yes
MAU-01263,MARIAN,Maug,Maug,Deep,20.028995,145.207629,No
OFU-01322,SAMOA,Ofu & Olosega,Ofu & Olosega,Mid,-14.18306,-169.625283,No
OFU-01324,SAMOA,Ofu & Olosega,Ofu & Olosega,Deep,-14.192098,-169.616921,No
OFU-01340,SAMOA,Ofu & Olosega,Ofu & Olosega,Mid,-14.18225,-169.678984,No
OFU-01342,SAMOA,Ofu & Olosega,Ofu & Olosega,Mid,-14.173434,-169.684613,No
OFU-01359,SAMOA,Ofu & Olosega,Ofu & Olosega,Deep,-14.189727,-169.671141,No
PAG-01251,MARIAN,Pagan,Pagan,Shallow,18.085918,145.73531,No
PAG-01253,MARIAN,Pagan,Pagan,Shallow,18.080695,145.720098,No
PAG-01254,MARIAN,Pagan,Pagan,Shallow,18.132332,145.759921,No
PAG-01266,MARIAN,Pagan,Pagan,Shallow,18.142813,145.75852,No
PAG-01273,MARIAN,Pagan,Pagan,Mid,18.123748,145.756369,No
PAG-01274,MARIAN,Pagan,Pagan,Mid,18.111985,145.802126,No
PAG-01278,MARIAN,Pagan,Pagan,Mid,18.099024,145.752808,No
PAG-01288,MARIAN,Pagan,Pagan,Mid,18.059267,145.710993,No
PAG-01295,MARIAN,Pagan,Pagan,Mid,18.046889,145.726766,No
PAG-01298,MARIAN,Pagan,Pagan,Mid,18.089328,145.758905,Yes
PAG-01301,MARIAN,Pagan,Pagan,Mid,18.049332,145.706191,No
PAG-01305,MARIAN,Pagan,Pagan,Deep,18.065028,145.745486,Yes
PAG-01309,MARIAN,Pagan,Pagan,Deep,18.16976,145.790484,No
PAG-01313,MARIAN,Pagan,Pagan,Deep,18.042136,145.705959,No
PAG-01316,MARIAN,Pagan,Pagan,Deep,18.104861,145.785961,Yes
PAG-01324,MARIAN,Pagan,Pagan,Deep,18.150932,145.754822,No
PAG-01326,MARIAN,Pagan,Pagan,Deep,18.147597,145.811663,No
ROS-05197,SAMOA,Rose,ROS_SANCTUARY,Shallow,-14.538404,-168.171917,No
ROS-05198,SAMOA,Rose,ROS_SANCTUARY,Shallow,-14.537266,-168.16764,No
ROS-05225,SAMOA,Rose,ROS_SANCTUARY,Mid,-14.547523,-168.13826,No
ROS-05229,SAMOA,Rose,ROS_SANCTUARY,Mid,-14.55352,-168.142964,No
ROS-05248,SAMOA,Rose,ROS_SANCTUARY,Deep,-14.535757,-168.163022,No
