"","MISSIONID","DATE_","SITEVISITID","ANALYSIS_YEAR","OBS_YEAR","REGION","REGION_NAME","ISLAND","ISLANDCODE","SEC_NAME","SITE","REEF_ZONE","DEPTH_BIN","LATITUDE","LONGITUDE","MIN_DEPTH_M","MAX_DEPTH_M","HABITAT_CODE"
"4797","SE1902_MHI_LEG2",2019-07-11,12929,"2019",2019,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_KONA","HAW-04245","Forereef","Shallow",19.04139,-155.882,3.657421518,5.486132,"ROB"
"4798","SE1902_MHI_LEG2",2019-07-12,12934,"2019",2019,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_KONA","HAW-04252","Forereef","Deep",19.89144,-155.9099,20.42060347,21.03017,"AGR"
"4802","SE1902_MHI_LEG2",2019-07-12,12936,"2019",2019,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_KONA","HAW-04257","Forereef","Mid",19.92087,-155.8932,9.753124048,10.66748,"AGR"
"4810","SE1902_MHI_LEG2",2019-07-12,12935,"2019",2019,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_KONA","HAW-04272","Forereef","Mid",19.90434,-155.9062,12.80097531,14.3249,"AGR"
"4814","SE1902_MHI_LEG2",2019-07-12,12938,"2019",2019,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_KONA","HAW-04253","Forereef","Deep",19.91259,-155.9014,18.59189272,19.20146,"AGR"
"4829","SE1902_MHI_LEG2",2019-07-12,12939,"2019",2019,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_KONA","HAW-04267","Forereef","Mid",19.9862,-155.8354,13.41054557,14.62969,"AGR"
"4847","SE1902_MHI_LEG2",2019-07-12,12940,"2019",2019,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_KONA","HAW-04278","Forereef","Mid",20.04418,-155.8378,9.753124048,10.05791,"SCR"
"4912","SE1902_MHI_LEG2",2019-07-12,12941,"2019",2019,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_KONA","HAW-04283","Forereef","Shallow",20.05691,-155.845,2.133495885,3.962207,"AGR"
"4929","SE1902_MHI_LEG2",2019-07-13,12958,"2019",2019,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_PUNA","HAW-04221","Forereef","Mid",19.74576,-155.0666,7.619628162,6.400488,"AGR"
"4945","SE1902_MHI_LEG2",2019-07-13,12956,"2019",2019,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_PUNA","HAW-04239","Forereef","Deep",19.8414,-155.0799,19.5062481,20.72539,"ROB"
