MISSIONID,OBS_YEAR,SITE,SITEVISITID,ISLAND,DATE_,DIVER,Method,Transectid,TRANSECT,Segmentid,SEGMENT,SEGLENGTH,SEGWIDTH,No colony observed,SITE_MIN_DEPTH,SITE_MAX_DEPTH,LATITUDE,LONGITUDE,REEF_ZONE,DEPTH_BIN
HA1801,2018,OFU-1047,11996,Ofu & Olosega,9-Jul-18,MSW,ADULT,1109,1,2088,7,2.5,1,-,54,64,-14.160672,-169.667964,Forereef,Deep
HA1801,2018,OFU-1013,12014,Ofu & Olosega,10-Jul-18,BVA,ADULT,1125,1,2192,1,2.5,1,0,25,25,-14.163059,-169.685125,Forereef,Mid
HA1801,2018,OFU-1051,12012,Ofu & Olosega,10-Jul-18,BH,ADULT,1121,1,2198,7,2.5,1,0,44,45,-14.163539,-169.687395,Forereef,Mid
HA1801,2018,OFU-1051,12012,Ofu & Olosega,10-Jul-18,BVA,JUVENILE,1121,1,2224,1,1,1,0,44,45,-14.163539,-169.687395,Forereef,Mid
HA1801,2018,TAU-1056,12029,Tau,11-Jul-18,BH,ADULT,1141,1,2236,3,2.5,1,0,64,66,-14.26508,-169.499003,Forereef,Deep
HA1801,2018,TAU-1056,12029,Tau,11-Jul-18,MSW,JUVENILE,1141,1,2250,1,1,1,0,64,66,-14.26508,-169.499003,Forereef,Deep
HA1801,2018,TAU-1065,12030,Tau,11-Jul-18,BH,ADULT,1143,1,2260,3,2.5,1,0,50,52,-14.263403,-169.499876,Forereef,Mid
HA1801,2018,ROS-1045,12112,Rose,15-Jul-18,MSW,ADULT,1201,1,2532,1,2.5,1,0,65,70,-14.5353,-168.16157,Forereef,Deep
HA1801,2018,ROS-1062,12113,Rose,15-Jul-18,MSW,ADULT,1203,1,2546,3,2.5,1,0,48,50,-14.541813,-168.17255,Forereef,Mid
HA1801,2018,ROS-1105,12116,Rose,15-Jul-18,BH,JUVENILE,1209,1,2552,5,1,1,0,29,32,-14.537268,-168.168625,Forereef,Mid
HA1801,2018,ROS-1080,12114,Rose,15-Jul-18,MSW,JUVENILE,1205,1,2556,3,1,1,0,14,17,-14.537835,-168.170758,Forereef,Shallow
HA1801,2018,ROS-1062,12113,Rose,15-Jul-18,BH,JUVENILE,1203,1,2572,5,1,1,0,48,50,-14.541813,-168.17255,Forereef,Mid
HA1801,2018,ROS-1045,12112,Rose,15-Jul-18,BH,JUVENILE,1201,1,2582,3,1,1,0,65,70,-14.5353,-168.16157,Forereef,Deep
HA1801,2018,ROS-1045,12112,Rose,15-Jul-18,BH,JUVENILE,1201,1,2588,5,1,1,0,65,70,-14.5353,-168.16157,Forereef,Deep
HA1801,2018,TAU-1062,12140,Tau,16-Jul-18,BH,ADULT,1227,1,2650,1,2.5,1,-,50,53,-14.275484,-169.492214,Forereef,Mid
HA1801,2018,TUT-3006,12160,Tutuila,17-Jul-18,MAR,ADULT,1241,1,2664,1,2.5,1,0,80,82,-14.360337,-170.786386,Forereef,Deep
HA1801,2018,TUT-3021,12161,Tutuila,17-Jul-18,MAR,ADULT,1243,1,2670,1,2.5,1,0,48,53,-14.343739,-170.789134,Forereef,Mid
HA1801,2018,TUT-3023,12164,Tutuila,17-Jul-18,MAR,ADULT,1249,1,2698,1,2.5,1,0,16,18,-14.326863,-170.833775,Forereef,Shallow
HA1801,2018,TUT-3026,12163,Tutuila,17-Jul-18,BH,ADULT,1247,1,2700,5,2.5,1,0,15,17,-14.330663,-170.814113,Forereef,Shallow
HA1801,2018,TAU-1021,12146,Tau,16-Jul-18,BVA,JUVENILE,1231,1,2708,5,1,1,0,47,54,-14.25583,-169.420032,Forereef,Mid
HA1801,2018,TAU-1077,12139,Tau,16-Jul-18,MSW,ADULT,1225,1,2734,5,2.5,1,0,38,39,-14.234642,-169.41888,Forereef,Mid
HA1801,2018,TUT-2803,12179,Tutuila,18-Jul-18,BVA,JUVENILE,1263,1,2760,3,1,1,0,70,72,-14.29288,-170.54982,Forereef,Deep
HA1801,2018,TUT-2812,12180,Tutuila,18-Jul-18,BVA,ADULT,1265,1,2770,3,2.5,1,0,44,48,-14.295019,-170.558202,Forereef,Mid
HA1801,2018,TUT-2812,12180,Tutuila,18-Jul-18,MSW,ADULT,1265,1,2796,7,2.5,1,0,44,48,-14.295019,-170.558202,Forereef,Mid
HA1801,2018,TUT-2803,12179,Tutuila,18-Jul-18,MSW,ADULT,1263,1,2794,7,2.5,1,0,70,72,-14.29288,-170.54982,Forereef,Deep
HA1801,2018,TUT-2806,12178,Tutuila,18-Jul-18,MAR,JUVENILE,1261,1,2806,1,1,1,-,62,65,-14.293038,-170.55251,Forereef,Deep
HA1801,2018,JAR-1916,12213,Jarvis,28-Jul-18,MSW,JUVENILE,1283,1,2846,3,1,1,0,73,73,-0.362684,-160.004485,Forereef,Deep
HA1801,2018,JAR-2021,12216,Jarvis,28-Jul-18,MSW,JUVENILE,1289,1,2852,3,1,1,-1,11,13,-0.365375,-160.006035,Forereef,Shallow
HA1801,2018,JAR-2021,12216,Jarvis,28-Jul-18,BH,JUVENILE,1289,1,2894,5,1,1,0,11,13,-0.365375,-160.006035,Forereef,Shallow
HA1801,2018,JAR-1995,12215,Jarvis,28-Jul-18,CSC,JUVENILE,1287,1,2916,3,1,1,-1,17,22,-0.362745,-160.001952,Forereef,Shallow
HA1801,2018,JAR-2019,12217,Jarvis,28-Jul-18,CSC,ADULT,1291,1,2930,1,2.5,1,-1,8,11,-0.369821,-160.00832,Forereef,Shallow
HA1801,2018,JAR-2019,12217,Jarvis,28-Jul-18,CSC,ADULT,1291,1,2934,3,2.5,1,0,8,11,-0.369821,-160.00832,Forereef,Shallow
HA1801,2018,JAR-1918,12247,Jarvis,29-Jul-18,MSW,ADULT,1309,1,2960,5,2.5,1,-1,66,67,-0.366124,-159.981343,Forereef,Deep
HA1801,2018,JAR-1935,12248,Jarvis,29-Jul-18,MSW,ADULT,1311,1,2966,5,2.5,1,0,48,55,-0.368347,-159.978151,Forereef,Mid
