"","SITEVISITID","OBS_YEAR","REGION_NAME","ISLAND","SITE","REEF_ZONE","DEPTH_BIN","LATITUDE","LONGITUDE","SITE_MIN_DEPTH","SITE_MAX_DEPTH"
"83",12337,2018,"Pacific Remote Island Areas","Palmyra","PAL-01125","Forereef","Mid",5.88169,-162.129581,"34","35"
"84",12214,2018,"Pacific Remote Island Areas","Jarvis","JAR-01948","Forereef","Mid",-0.361651,-159.998288,"34","35"
"85",12094,2018,"American Samoa","Rose","ROS-01071","Forereef","Mid",-14.54374,-168.171819,"33","36"
"86",11983,2018,"American Samoa","Ofu & Olosega","OFU-01010","Forereef","Mid",-14.188357,-169.621104,"35","36"
"87",12413,2018,"Pacific Remote Island Areas","Palmyra","PAL-01120","Forereef","Mid",5.868771,-162.07156,"34","37"
"88",12067,2018,"American Samoa","Tau","TAU-01032","Forereef","Mid",-14.214405,-169.488093,"35","37"
"89",12358,2018,"Pacific Remote Island Areas","Palmyra","PAL-01106","Forereef","Mid",5.873518,-162.12682,"35","37"
"90",11718,2018,"Pacific Remote Island Areas","Baker","BAK-00763","Forereef","Mid",0.19374,-176.46083,"36","37"
"91",11661,2018,"Pacific Remote Island Areas","Howland","HOW-01031","Forereef","Mid",0.79788,-176.6198,"34","38"
"92",11974,2018,"American Samoa","Ofu & Olosega","OFU-01004","Forereef","Mid",-14.172599,-169.64201,"36","38"
"93",12102,2018,"American Samoa","Rose","ROS-01056","Forereef","Mid",-14.554979,-168.147469,"36","38"
"94",12495,2018,"Pacific Remote Island Areas","Kingman","KIN-00905","Protected Slope","Mid",6.380195,-162.439061,"36","38"
"95",12383,2018,"Pacific Remote Island Areas","Palmyra","PAL-01102","Forereef","Mid",5.867425,-162.017011,"36","38"
"96",12517,2018,"Pacific Remote Island Areas","Kingman","KIN-00915","Protected Slope","Mid",6.405676,-162.457571,"36","39"
"97",12275,2018,"Pacific Remote Island Areas","Jarvis","JAR-01967","Forereef","Mid",-0.381954,-159.989314,"36","39"
"98",12274,2018,"Pacific Remote Island Areas","Jarvis","JAR-01965","Forereef","Mid",-0.38254,-159.975827,"36","39"
"99",12139,2018,"American Samoa","Tau","TAU-01077","Forereef","Mid",-14.234642,-169.41888,"38","39"
"100",12093,2018,"American Samoa","Rose","ROS-01101","Forereef","Mid",-14.536229,-168.163882,"38","40"
"101",11746,2018,"American Samoa","Swains","SWA-00795","Forereef","Mid",-11.065867,-171.08488,"37","42"
"102",11772,2018,"American Samoa","Swains","SWA-00766","Forereef","Mid",-11.051502,-171.065469,"38","42"
"103",11857,2018,"American Samoa","Tutuila","TUT-02933","Forereef","Mid",-14.28835,-170.768861,"40","42"
"104",12490,2018,"Pacific Remote Island Areas","Kingman","KIN-00820","Lagoon","Mid",6.401337,-162.349918,"40","42"
"105",11813,2018,"American Samoa","Tutuila","TUT-02927","Forereef","Mid",-14.246887,-170.664336,"36","44"
"106",12124,2018,"American Samoa","Rose","ROS-01053","Forereef","Shallow",-14.53228,-168.1577,"39","44"
"107",11865,2018,"American Samoa","Tutuila","TUT-02938","Forereef","Mid",-14.299466,-170.815291,"42","44"
"108",12101,2018,"American Samoa","Rose","ROS-01067","Forereef","Mid",-14.537016,-168.146952,"42","44"
"109",12489,2018,"Pacific Remote Island Areas","Kingman","KIN-00886","Lagoon","Mid",6.407084,-162.367163,"42","44"
"110",12162,2018,"American Samoa","Tutuila","TUT-03020","Forereef","Mid",-14.336623,-170.804069,"42","45"
"111",12303,2018,"Pacific Remote Island Areas","Jarvis","JAR-01939","Forereef","Mid",-0.381757,-160.006668,"42","45"
"112",11953,2018,"American Samoa","Tutuila","TUT-02855","Forereef","Mid",-14.360105,-170.749262,"43","45"
"113",11941,2018,"American Samoa","Tutuila","TUT-05005","Forereef","Mid",-14.276832,-170.557578,"43","45"
"114",12407,2018,"Pacific Remote Island Areas","Palmyra","PAL-01100","Forereef","Mid",5.898678,-162.066089,"43","45"
"115",12012,2018,"American Samoa","Ofu & Olosega","OFU-01051","Forereef","Mid",-14.163539,-169.687395,"44","45"
"116",12145,2018,"American Samoa","Tau","TAU-01036","Forereef","Mid",-14.248696,-169.418978,"40","46"
"117",12514,2018,"Pacific Remote Island Areas","Kingman","KIN-00918","Lagoon","Mid",6.405131,-162.460287,"43","46"
"118",11913,2018,"American Samoa","Tutuila","TUT-02874","Forereef","Mid",-14.36191,-170.76485,"44","46"
"119",11954,2018,"American Samoa","Tutuila","TUT-02854","Forereef","Mid",-14.365348,-170.75252,"44","46"
"120",11814,2018,"American Samoa","Tutuila","TUT-02929","Forereef","Mid",-14.23855,-170.669358,"44","46"
"121",12181,2018,"American Samoa","Tutuila","TUT-02808","Forereef","Mid",-14.296497,-170.566111,"46","46"
"122",11940,2018,"American Samoa","Tutuila","TUT-05004","Forereef","Mid",-14.280962,-170.561526,"43","48"
"123",12180,2018,"American Samoa","Tutuila","TUT-02812","Forereef","Mid",-14.295019,-170.558202,"44","48"
"124",12513,2018,"Pacific Remote Island Areas","Kingman","KIN-00901","Lagoon","Mid",6.401165,-162.466899,"45","48"
"125",12054,2018,"American Samoa","Tau","TAU-01080","Forereef","Mid",-14.228211,-169.518733,"36","49"
"126",11715,2018,"Pacific Remote Island Areas","Baker","BAK-00752","Forereef","Mid",0.20007,-176.48407,"48","49"
"127",11984,2018,"American Samoa","Ofu & Olosega","OFU-01024","Forereef","Mid",-14.176668,-169.628432,"46","50"
"128",12417,2018,"Pacific Remote Island Areas","Palmyra","PAL-01104","Forereef","Mid",5.875905,-162.131017,"47","50"
"129",11679,2018,"Pacific Remote Island Areas","Baker","BAK-00761","Forereef","Mid",0.18851,-176.4818,"48","50"
"130",11880,2018,"American Samoa","Tutuila","TUT-05001","Forereef","Mid",-14.292134,-170.779835,"48","50"
"131",12113,2018,"American Samoa","Rose","ROS-01062","Forereef","Mid",-14.541813,-168.17255,"48","50"
"132",12437,2018,"Pacific Remote Island Areas","Kingman","KIN-00841","Forereef","Mid",6.435843,-162.381747,"48","51"
"133",12340,2018,"Pacific Remote Island Areas","Palmyra","PAL-01111","Forereef","Mid",5.897517,-162.09478,"48","51"
"134",11912,2018,"American Samoa","Tutuila","TUT-02871","Forereef","Mid",-14.365118,-170.7635,"50","51"
"135",12053,2018,"American Samoa","Tau","TAU-01034","Forereef","Mid",-14.214847,-169.502174,"51","51"
