SEGMENTID,COLONYID,SPECIES,COLONYLENGTH,COLONYWIDTH,MORPH_CODE,SITE,DATE_,TRANSECTNUM,SITEVISITID,SEGMENT,SEGLENGTH,SEGWIDTH,TRANSECTID,DIVER,REGION,ISLANDCODE,OBS_YEAR,GENUS,S_ORDER,MISSIONID,ISLAND,REEF_ZONE,HABITAT_CODE,DEPTH_BIN,LATITUDE,LONGITUDE,MIN_DEPTH,MAX_DEPTH,REGION_NAME
1990,-,LPUR,2.8,-,EM,OFU-1004,7-Jul-18,1,11974,5,1,1,1085,BH,SAMOA,OFU,2018,Leptastrea,Scleractinia,HA1801,Ofu & Olosega,Forereef,AGR,Mid,-14.172599,-169.64201,36,38,American Samoa
1990,-,MOSP,1.8,-,EM,OFU-1004,7-Jul-18,1,11974,5,1,1,1085,BH,SAMOA,OFU,2018,Montipora,Scleractinia,HA1801,Ofu & Olosega,Forereef,AGR,Mid,-14.172599,-169.64201,36,38,American Samoa
1992,-,FUSP,4.6,-,FR,OFU-1004,7-Jul-18,1,11974,1,1,1,1085,MAR,SAMOA,OFU,2018,Fungia,Scleractinia,HA1801,Ofu & Olosega,Forereef,AGR,Mid,-14.172599,-169.64201,36,38,American Samoa
1992,-,MOSP,4.5,-,EM,OFU-1004,7-Jul-18,1,11974,1,1,1,1085,MAR,SAMOA,OFU,2018,Montipora,Scleractinia,HA1801,Ofu & Olosega,Forereef,AGR,Mid,-14.172599,-169.64201,36,38,American Samoa
2002,-,POSP,3.5,-,EM,OFU-1010,7-Jul-18,1,11983,1,1,1,1091,MSW,SAMOA,OFU,2018,Porites,Scleractinia,HA1801,Ofu & Olosega,Forereef,AGR,Mid,-14.188357,-169.621104,35,36,American Samoa
2002,-,LEPT,4.2,-,EM,OFU-1010,7-Jul-18,1,11983,1,1,1,1091,MSW,SAMOA,OFU,2018,Leptastrea,Scleractinia,HA1801,Ofu & Olosega,Forereef,AGR,Mid,-14.188357,-169.621104,35,36,American Samoa
2002,-,PPRO,4,-,EM,OFU-1010,7-Jul-18,1,11983,1,1,1,1091,MSW,SAMOA,OFU,2018,Psammocora,Scleractinia,HA1801,Ofu & Olosega,Forereef,AGR,Mid,-14.188357,-169.621104,35,36,American Samoa
2002,-,GONS,4.2,-,EM,OFU-1010,7-Jul-18,1,11983,1,1,1,1091,MSW,SAMOA,OFU,2018,Goniastrea,Scleractinia,HA1801,Ofu & Olosega,Forereef,AGR,Mid,-14.188357,-169.621104,35,36,American Samoa
2010,-,FUSP,1.8,-,PL,OFU-1045,7-Jul-18,1,11975,3,1,1,1087,MAR,SAMOA,OFU,2018,Fungia,Scleractinia,HA1801,Ofu & Olosega,Forereef,AGR,Mid,-14.174067,-169.644303,52,54,American Samoa
2010,-,ACSP,3.2,-,KN,OFU-1045,7-Jul-18,1,11975,3,1,1,1087,MAR,SAMOA,OFU,2018,Acropora,Scleractinia,HA1801,Ofu & Olosega,Forereef,AGR,Mid,-14.174067,-169.644303,52,54,American Samoa
