Name,Row,Column,Cnet_SHORT_CODE,Annotator,Unique_point
FFS-4223_2017_A_16_dummy5.JPG,864,572,*GRMA,nosborn,2021-08-13 21:19:49+00:00
FFS-4223_2017_A_16_dummy5.JPG,839,1522,*CCAH,nosborn,2021-08-13 21:19:49+00:00
FFS-4223_2017_A_16_dummy5.JPG,1165,1215,*TURFH,nosborn,2021-08-13 21:19:49+00:00
FFS-4223_2017_A_16_dummy5.JPG,979,925,*TURFH,nosborn,2021-08-13 21:19:49+00:00
FFS-4223_2017_A_16_dummy5.JPG,1215,1785,*MOEN,nosborn,2021-08-13 21:19:49+00:00
FFS-4223_2017_A_16_dummy5.JPG,1638,3547,*ACBR,nosborn,2021-08-13 21:19:49+00:00
FFS-4223_2017_A_16_dummy5.JPG,2015,2855,*TAPE,nosborn,2021-08-13 21:19:49+00:00
FFS-4223_2017_A_16_dummy5.JPG,1905,3330,*ACBR,nosborn,2021-08-13 21:19:48+00:00
FFS-4223_2017_A_16_dummy5.JPG,2908,2903,*TURFH,nosborn,2021-08-13 21:19:48+00:00
FFS-4230_2017_A_30_dummy5.JPG,419,3550,*TURFH,nosborn,2021-08-13 21:36:39+00:00
FFS-4230_2017_A_30_dummy5.JPG,811,63,*TURFH,nosborn,2021-08-13 21:36:39+00:00
FFS-4230_2017_A_30_dummy5.JPG,617,1088,*TURFH,nosborn,2021-08-13 21:36:39+00:00
FFS-4230_2017_A_30_dummy5.JPG,765,3822,*TURFH,nosborn,2021-08-13 21:36:39+00:00
FFS-4230_2017_A_30_dummy5.JPG,1430,3168,*TURFH,nosborn,2021-08-13 21:36:39+00:00
FFS-4230_2017_A_30_dummy5.JPG,2139,773,*TURFH,nosborn,2021-08-13 21:36:39+00:00
FFS-4230_2017_A_30_dummy5.JPG,2180,1280,*CCAH,nosborn,2021-08-13 21:36:39+00:00
FFS-4230_2017_A_30_dummy5.JPG,2395,1366,*CCAH,nosborn,2021-08-13 21:36:39+00:00
FFS-4230_2017_A_30_dummy5.JPG,1836,3371,*TURFH,nosborn,2021-08-13 21:36:39+00:00
