SITEVISITID,ROUNDID,MISSIONID,REGION,ISLAND,SEC_NAME,REEF_ZONE,DEPTH_BIN,new_MIN_DEPTH_M,new_MAX_DEPTH_M,SITE,OLD_SITE,OCC_SITEID,LATITUDE_SV,LONGITUDE_SV,LATITUDE_LOV,LONGITUDE_LOV,OBS_YEAR,ANALYSIS_YEAR,DATE_,HABITAT_CODE,Type
52101,191,RA2301_LEG7,SAMOA,Tutuila,,,,,,TUT-5008,TUT-5008,OCC-TUT-026OCC-TUT-026,-14.281459,-170.724856,-14.28142,-170.72474,2023,2023,5-Aug-23,,Oceanography
52100,191,RA2301_LEG7,SAMOA,Tutuila,,,,,,TUT-5008,TUT-5008,OCC-TUT-026,-14.281461,-170.724697,-14.28142,-170.72474,2023,2023,5-Aug-23,,Oceanography
52102,191,RA2301_LEG7,SAMOA,Tutuila,,,,,,TUT-5009,TUT-5009,OCC-TUT-027,-14.281555,-170.724616,-14.28152,-170.72462,2023,2023,5-Aug-23,,Oceanography
52104,191,RA2301_LEG7,SAMOA,Tutuila,,,,,,TUT-5010,TUT-5010,OCC-TUT-028,-14.281452,-170.724301,-14.28176,-170.72444,2023,2023,5-Aug-23,,Oceanography
51224,187,RA2301_LEG2,PRIAs,Howland,,,,,,HOW-950,HOW-950,,0.800328,-176.879248,0.800328,-176.879248,2023,2023,15-Mar-23,,Oceanography
51225,187,RA2301_LEG2,PRIAs,Howland,,,,,,HOW-951,HOW-951,,0.812633,-176.36263,0.812633,-176.36263,2023,2023,16-Mar-23,,Oceanography
51226,187,RA2301_LEG2,PRIAs,Baker,,,,,,BAK-950,BAK-950,,0.200424,-176.72826,0.200424,-176.72826,2023,2023,17-Mar-23,,Oceanography
51227,187,RA2301_LEG2,PRIAs,Baker,,,,,,BAK-951,BAK-951,,0.190811,-176.225395,0.190811,-176.225395,2023,2023,18-Mar-23,,Oceanography
51480,188,RA2301_LEG3,SAMOA,Tutuila,,Forereef,Deep,21.33495885,21.94452911,TUT-5917,TUT-5917,,-14.281004,-170.541732,-14.281004,-170.541732,2023,2023,20-Apr-23,PAV,Benthic
51481,188,RA2301_LEG3,SAMOA,Tutuila,,Forereef,Mid,10.3626943,11.58183481,TUT-5810,TUT-5810,,-14.27945,-170.5477,-14.27945,-170.5477,2023,2023,20-Apr-23,PAV,Benthic
51482,188,RA2301_LEG3,SAMOA,Tutuila,,Forereef,Mid,10.05790917,10.3626943,TUT-5811,TUT-5811,,-14.277155,-170.54864,-14.277155,-170.54864,2023,2023,20-Apr-23,PAV,Benthic
51483,188,RA2301_LEG3,SAMOA,Tutuila,,Forereef,Mid,12.19140506,13.10576044,TUT-5968,TUT-5968,,-14.282696,-170.545021,-14.282696,-170.545021,2023,2023,20-Apr-23,PAV,Benthic
51484,188,RA2301_LEG3,SAMOA,Tutuila,,Forereef,Deep,19.20146297,20.11581835,TUT-5913,TUT-5913,,-14.294678,-170.565554,-14.294678,-170.565554,2023,2023,20-Apr-23,PAV,Benthic
51485,188,RA2301_LEG3,SAMOA,Tutuila,,Forereef,Mid,17.06796708,17.67753734,TUT-5804,TUT-5804,,-14.30062,-170.573322,-14.30062,-170.573322,2023,2023,20-Apr-23,RRB,Benthic
51486,188,RA2301_LEG3,SAMOA,Tutuila,,Forereef,Mid,12.19140506,13.71533069,TUT-5713,TUT-5713,,-14.290293,-170.550115,-14.290293,-170.550115,2023,2023,20-Apr-23,AGR,Benthic
51487,188,RA2301_LEG3,SAMOA,Tutuila,,Forereef,Mid,12.49619019,14.02011582,TUT-5909,TUT-5909,,-14.280773,-170.545029,-14.280773,-170.545029,2023,2023,20-Apr-23,PAV,Benthic
51488,188,RA2301_LEG3,SAMOA,Tutuila,,Forereef,Mid,10.3626943,10.97226455,TUT-5807,TUT-5807,,-14.293184,-170.555268,-14.293184,-170.555268,2023,2023,20-Apr-23,AGR,Benthic
51500,189,RA2301_LEG4,SAMOA,Tutuila,,Forereef,Mid,,,TUT-5451,TUT-5451,,-14.270641,-170.56367,-14.270641,-170.56367,2023,2023,26-Apr-23,APS,Fish
51501,189,RA2301_LEG4,SAMOA,Tutuila,,Forereef,Mid,,,TUT-5430,TUT-5430,,-14.290734,-170.55453,-14.290734,-170.55453,2023,2023,26-Apr-23,AGR,Fish
51502,189,RA2301_LEG4,SAMOA,Tutuila,,Forereef,Shallow,,,TUT-5368,TUT-5368,,-14.278021,-170.625793,-14.278021,-170.625793,2023,2023,26-Apr-23,AGR,Fish
51503,189,RA2301_LEG4,SAMOA,Tutuila,,Forereef,Mid,,,TUT-5439,TUT-5439,,-14.282777,-170.545066,-14.282777,-170.545066,2023,2023,26-Apr-23,PAV,Fish
51504,189,RA2301_LEG4,SAMOA,Tutuila,,Forereef,Mid,,,TUT-5458,TUT-5458,,-14.261313,-170.558012,-14.261313,-170.558012,2023,2023,26-Apr-23,AGR,Fish
51505,189,RA2301_LEG4,SAMOA,Tutuila,,Forereef,Deep,,,TUT-5585,TUT-5585,,-14.275142,-170.54814,-14.275142,-170.54814,2023,2023,26-Apr-23,RRB,Fish
51506,189,RA2301_LEG4,SAMOA,Tutuila,,Forereef,Shallow,,,TUT-5317,TUT-5317,,-14.278943,-170.548821,-14.278943,-170.548821,2023,2023,26-Apr-23,PAV,Fish
51507,189,RA2301_LEG4,SAMOA,Tutuila,,Forereef,Mid,,,TUT-5428,TUT-5428,,-14.29009,-170.548995,-14.29009,-170.548995,2023,2023,26-Apr-23,AGR,Fish
51508,189,RA2301_LEG4,SAMOA,Tutuila,,Forereef,Mid,,,TUT-5516,TUT-5516,,-14.300941,-170.577727,-14.300941,-170.577727,2023,2023,26-Apr-23,RRB,Fish
51520,189,RA2301_LEG4,SAMOA,Tutuila,,Forereef,Deep,,,TUT-5644,TUT-5644,,-14.281223,-170.591565,-14.281223,-170.591565,2023,2023,27-Apr-23,AGR,Fish
51521,189,RA2301_LEG4,SAMOA,Tutuila,,Forereef,Mid,,,TUT-5484,TUT-5484,,-14.277399,-170.580364,-14.277399,-170.580364,2023,2023,27-Apr-23,AGR,Fish
51522,189,RA2301_LEG4,SAMOA,Tutuila,,Forereef,Deep,,,TUT-5578,TUT-5578,,-14.301192,-170.57038,-14.301192,-170.57038,2023,2023,27-Apr-23,AGR,Fish
51523,189,RA2301_LEG4,SAMOA,Tutuila,,Forereef,Mid,,,TUT-5479,TUT-5479,,-14.286311,-170.599152,-14.286311,-170.599152,2023,2023,27-Apr-23,AGR,Fish
51524,189,RA2301_LEG4,SAMOA,Tutuila,,Forereef,Mid,,,TUT-5509,TUT-5509,,-14.298632,-170.615383,-14.298632,-170.615383,2023,2023,27-Apr-23,AGR,Fish
51525,189,RA2301_LEG4,SAMOA,Tutuila,,Forereef,Deep,,,TUT-5626,TUT-5626,,-14.281252,-170.619274,-14.281252,-170.619274,2023,2023,27-Apr-23,AGR,Fish
51782,190,RA2301_LEG6,SAMOA,Tutuila,,Forereef,Deep,,,TUT-5626,TUT-5626,,-14.281184,-170.619337,-14.281252,-170.619274,2023,2023,7-Jul-23,AGR,Fish
51526,189,RA2301_LEG4,SAMOA,Tutuila,,Forereef,Mid,,,TUT-5489,TUT-5489,,-14.284136,-170.625115,-14.284136,-170.625115,2023,2023,27-Apr-23,AGR,Fish
51527,189,RA2301_LEG4,SAMOA,Tutuila,,Forereef,Mid,,,TUT-5512,TUT-5512,,-14.28407,-170.637806,-14.28407,-170.637806,2023,2023,27-Apr-23,AGR,Fish
51528,189,RA2301_LEG4,SAMOA,Tutuila,,Forereef,Mid,,,TUT-5515,TUT-5515,,-14.308325,-170.641203,-14.308325,-170.641203,2023,2023,27-Apr-23,AGR,Fish
51529,189,RA2301_LEG4,SAMOA,Tutuila,,Forereef,Mid,,,TUT-5490,TUT-5490,,-14.312003,-170.644979,-14.312003,-170.644979,2023,2023,27-Apr-23,AGR,Fish
51540,189,RA2301_LEG4,PRIAs,Baker,,Forereef,Mid,,,BAK-2050,BAK-2050,,0.187425,-176.473385,0.187425,-176.473385,2023,2023,2-May-23,RRB,Fish
51541,189,RA2301_LEG4,PRIAs,Baker,,Forereef,Deep,,,BAK-2074,BAK-2074,,0.18632,-176.4621,0.18632,-176.4621,2023,2023,2-May-23,RRB,Fish
51542,189,RA2301_LEG4,PRIAs,Baker,,Forereef,Mid,,,BAK-2058,BAK-2058,,0.191865,-176.457678,0.191865,-176.457678,2023,2023,2-May-23,AGR,Fish
51543,189,RA2301_LEG4,PRIAs,Baker,,Forereef,Shallow,,,BAK-2027,BAK-2027,,0.191433,-176.466068,0.191433,-176.466068,2023,2023,2-May-23,AGR,Fish
51544,189,RA2301_LEG4,PRIAs,Baker,,Forereef,Shallow,,,BAK-2031,BAK-2031,,0.204325,-176.480705,0.204325,-176.480705,2023,2023,2-May-23,AGR,Fish
51545,189,RA2301_LEG4,PRIAs,Baker,,Forereef,Deep,,,BAK-2087,BAK-2087,,0.188791,-176.486071,0.188791,-176.486071,2023,2023,2-May-23,AGR,Fish
51546,189,RA2301_LEG4,PRIAs,Baker,,Forereef,Shallow,,,BAK-2085,BAK-2085,,0.193125,-176.487972,0.193125,-176.487972,2023,2023,2-May-23,AGR,Fish
51547,189,RA2301_LEG4,PRIAs,Baker,,Forereef,Mid,,,BAK-2051,BAK-2051,,0.204539,-176.473943,0.204539,-176.473943,2023,2023,2-May-23,AGR,Fish
51560,189,RA2301_LEG4,PRIAs,Baker,,Forereef,Mid,,,BAK-2056,BAK-2056,,0.204751,-176.472832,0.204751,-176.472832,2023,2023,3-May-23,AGR,Fish
51561,189,RA2301_LEG4,PRIAs,Baker,,Forereef,Mid,,,BAK-2080,BAK-2080,,0.188607,-176.482999,0.188607,-176.482999,2023,2023,3-May-23,AGR,Fish
51562,189,RA2301_LEG4,PRIAs,Baker,,Forereef,Deep,,,BAK-2070,BAK-2070,,0.204664,-176.471103,0.204664,-176.471103,2023,2023,3-May-23,RRB,Fish
51563,189,RA2301_LEG4,PRIAs,Baker,,Forereef,Mid,,,BAK-2059,BAK-2059,,0.196525,-176.459442,0.196525,-176.459442,2023,2023,3-May-23,AGR,Fish
51564,189,RA2301_LEG4,PRIAs,Baker,,Forereef,Shallow,,,BAK-2035,BAK-2035,,0.198674,-176.465064,0.198674,-176.465064,2023,2023,3-May-23,SAG,Fish
51565,189,RA2301_LEG4,PRIAs,Baker,,Forereef,Mid,,,BAK-2049,BAK-2049,,0.189943,-176.461585,0.189943,-176.461585,2023,2023,3-May-23,AGR,Fish
51566,189,RA2301_LEG4,PRIAs,Baker,,Forereef,Shallow,,,BAK-2033,BAK-2033,,0.196144,-176.486355,0.196144,-176.486355,2023,2023,3-May-23,AGR,Fish
51580,189,RA2301_LEG4,PRIAs,Howland,,Forereef,Mid,,,HOW-1098,HOW-1098,,0.811189,-176.611288,0.811189,-176.611288,2023,2023,4-May-23,AGR,Fish
