"FID","ANALYST","OBS_YEAR","MISSION_ID","SITE","TRANSECT","SEGMENT","SEGLENGTH","SEGWIDTH","NO_COLONY","SPCODE","FRAGMENT","MORPH_CODE","EX_BOUND","JUVENILE","FRAGMENT.1","REMNANT","Shape_Leng","SEGAREA"
"391","MA",2019,"SE1902","HAW-04292","B","5",1,1,"0","PMEA","0","BR","0","-1","0","0",0.029795469,1
"392","MA",2019,"SE1902","HAW-04292","B","5",1,1,"0","PLOB","0","MD","0","-1","0","0",0.020317726,1
"393","MA",2019,"SE1902","HAW-04292","B","5",1,1,"0","PLOB","0","MD","0","-1","0","0",0.026322995,1
"394","MA",2019,"SE1902","HAW-04292","B","5",1,1,"0","POSP","0","MD","0","-1","0","0",0.034842071,1
"395","MA",2019,"SE1902","HAW-04292","B","5",1,1,"0","POSP","0","MD","0","-1","0","0",0.032206365,1
"396","MA",2019,"SE1902","HAW-04292","B","5",1,1,"0","POSP","0","MD","0","-1","0","0",0.011741381,1
"398","MA",2019,"SE1902","HAW-04292","B","5",1,1,"0","POSP","0","EM","0","-1","0","0",0.0207,1
"399","MA",2019,"SE1902","HAW-04292","B","5",1,1,"0","POSP","0","EM","0","-1","0","0",0.019602296,1
"402","MA",2019,"SE1902","HAW-04292","B","5",1,1,"0","PCOM","0","CO","0","-1","0","0",0.025428528,1
"408","MA",2019,"SE1902","HAW-04292","B","5",1,1,"0","POSP","0","EM","0","-1","0","0",0.01690562,1
"409","MA",2019,"SE1902","HAW-04292","B","10",1,1,"0","PLOB","0","EM","0","-1","0","0",0.018017769,1
"410","MA",2019,"SE1902","HAW-04292","B","10",1,1,"0","PMEA","0","EM","0","-1","0","0",0.019611476,1
"411","MA",2019,"SE1902","HAW-04292","B","10",1,1,"0","PLOB","0","MD","0","-1","0","0",0.013327039,1
"412","MA",2019,"SE1902","HAW-04292","B","10",1,1,"0","PLOB","0","MD","0","-1","0","0",0.022680829,1
"413","MA",2019,"SE1902","HAW-04292","B","10",1,1,"0","PLOB","0","MD","0","-1","0","0",0.017523127,1
"414","MA",2019,"SE1902","HAW-04292","B","10",1,1,"0","PLOB","0","EM","0","-1","0","0",0.021009761,1
"415","MA",2019,"SE1902","HAW-04292","B","10",1,1,"0","PLOB","0","MD","0","-1","0","0",0.043724707,1
"416","MA",2019,"SE1902","HAW-04292","B","10",1,1,"0","PLOB","0","EM","0","-1","0","0",0.017410628,1
"417","MA",2019,"SE1902","HAW-04292","B","10",1,1,"0","PLOB","0","MD","0","-1","0","0",0.016238841,1
"418","MA",2019,"SE1902","HAW-04292","B","10",1,1,"0","PLOB","0","MD","0","-1","0","0",0.027550137,1
